surface observations;Parameter description;cloud_cover_total;daily_mean_of_temperature_previous_day;depth_of_new_snow;dew_point_temperature_at_2_meter_above_ground;diffuse_solar_radiation_last_hour;direct_solar_radiation_last_24_hours;direct_solar_radiation_last_hour;dry_bulb_temperature_at_2_meter_above_ground;evaporation/evapotranspiration_last_24_hours;global_radiation_last_hour;global_radiation_past_24_hours;height_of_base_of_lowest_cloud_above_station;horizontal_visibility;maximum_of_10_minutes_mean_of_wind_speed_for_previous_day;maximum_of_temperature_for_previous_day;maximum_temperature_last_12_hours_2_meters_above_ground;maximum_wind_speed_as_10_minutes_mean_during_last_hour;maximum_wind_speed_during_last_6_hours;maximum_wind_speed_for_previous_day;maximum_wind_speed_last_hour;mean_wind_direction_during_last_10 min_at_10_meters_above_ground;mean_wind_speed_during last_10_min_at_10_meters_above_ground;minimum_of_temperature_at_5_cm_above_ground_for_previous_day;minimum_of_temperature_for_previous_day;minimum_temperature_last_12_hours_2_meters_above_ground;minimum_temperature_last_12_hours_5_cm_above_ground;past_weather_1;past_weather_2;precipitation_amount_last_24_hours;precipitation_amount_last_3_hours;precipitation_amount_last_6_hours;precipitation_amount_last_hour;precipitation_last_12_hours;present_weather;pressure_reduced_to_mean_sea_level;relative_humidity;sea/water_temperature;temperature_at_5_cm_above_ground;total_snow_depth;total_time_of_sunshine_during_last_hour;total_time_of_sunshine_past_day
10379;Unit;%;Grad C;cm;Grad C;W/m2;W/m2;W/m2;Grad C;mm;W/m2;W/m2;m;km;km/h;Grad C;Grad C;km/h;km/h;km/h;km/h;Grad;km/h;Grad C;Grad C;Grad C;Grad C;CODE_TABLE;CODE_TABLE;mm;mm;mm;mm;mm;CODE_TABLE;hPa;%;Grad C;Grad C;cm;min;h
Datum;Uhrzeit (UTC);Wolkenbedeckung;mittlere Temperatur (vergangener Tag, 2m);Neuschneehoehe;Taupunkttemperatur (2m);Diffuse Strahlung (letzte Stunde);Direkte Strahlung (vergangene 24 Stunden);Direkte Strahlung (letzte Stunde);Temperatur (2m);Evaporation (vergangene 24 Stunden);Globalstrahlung (letzte Stunde);Globalstrahlung (vergangene 24 Stunden);Wolkenuntergrenze;Sichtweite;Maximalwind (vergangener Tag);Maximumtemperatur (vergangener Tag, 2m);Maximumtemperatur (letzte 12 Stunden, 2m);Maximalwind (letzte Stunde);Windboen (letzte 6 Stunden);Windboen (vergangener Tag);Windboen (letzte Stunde);Windrichtung;Windgeschwindigkeit;Minimumtemperatur (vergangener Tag, 5cm);Minimumtemperatur (vergangener Tag, 2m);Minimumtemperatur (letzte 12 Stunden, 2m);Minimumtemperatur (letzte 12 Stunden, 5cm);vergangenes Wetter 1;vergangenes Wetter 2;Niederschlag (letzte 24 Stunden);Niederschlag (letzte 3 Stunden);Niederschlag (letzte 6 Stunden);Niederschlag (letzte Stunde);Niederschlag (letzte 12 Stunden);aktuelles Wetter;Druck (auf Meereshoehe);Relative Feuchte;Wassertemperatur;Temperatur (5cm);Schneehoehe;Sonnenscheindauer (letzte Stunde);Sonnenscheindauer (vergangener Tag)
03.04.24;17:00;100;---;---;10;46;---;---;11,2;---;49;---;1030;25,6;---;---;---;9;---;---;15;150;9;---;---;---;---;---;---;---;---;---;0,2;---;8;1007,6;92;---;10,9;0;0;---
03.04.24;16:00;100;---;---;10,1;102;---;---;11,7;---;110;---;1030;19,4;---;---;---;7;---;---;11;180;6;---;---;---;---;---;---;---;---;---;0,1;---;8;1007,4;90;---;11,4;0;0;---
03.04.24;15:00;88;---;---;9,9;70;---;---;11,4;---;76;---;540;23,6;---;---;---;10;---;---;16;190;7;---;---;---;---;16;15;---;1,1;---;0,8;---;8;1007,7;90;---;11,2;0;0;---
03.04.24;14:00;100;---;---;7,8;237;---;---;12,5;---;276;---;720;29,8;---;---;---;5;---;---;12;240;5;---;---;---;---;---;---;---;---;---;0;---;7;1007,6;73;---;12,4;0;0;---
03.04.24;13:00;100;---;---;8,3;197;---;---;11,7;---;216;---;460;17,7;---;---;---;8;---;---;12;230;5;---;---;---;---;---;---;---;---;---;0,3;---;8;1007,7;80;---;11,6;0;0;---
03.04.24;12:00;100;---;---;8,3;114;---;---;11,3;---;124;---;570;30,9;17;---;---;11;26;---;18;240;6;---;---;---;---;16;15;---;0,4;0,4;0,2;---;8;1007,7;82;---;11;0;0;---
03.04.24;11:00;100;---;---;7,2;98;---;---;10,8;---;106;---;610;38,1;---;---;---;9;---;---;14;260;7;---;---;---;---;---;---;---;---;---;0,2;---;8;1007,5;78;---;10,2;0;0;---
03.04.24;10:00;100;---;---;6,8;255;---;---;11,4;---;278;---;580;50,3;---;---;---;10;---;---;15;310;6;---;---;---;---;---;---;---;---;---;0;---;4;1007,1;73;---;11,5;0;0;---
