name;lat;lon;value
Oberstdorf;47,398429;10,275881;13,5
Zugspitze;47,421037;10,984761;15,5
Garmisch-Partenkirchen;47,482989;11,062126;17,5
Konstanz;47,695219;9,130698;6,5
Kempten;47,723263;10,334786;13,5
Leutkirch-Herlazhofen;47,795529;10,032457;11,8
Hohenpeißenberg;47,800869;11,010819;18,6
Feldberg/Schwarzwald;47,874842;8,003793;5,2
Chieming;47,884257;12,540368;22,2
Freiburg;48,023242;7,834292;2,8
Klippeneck;48,105397;8,754788;5,1
München-Stadt;48,163202;11,542893;15,3
Meßstetten-Appental;48,169353;8,943265;3,6
Mühldorf;48,278982;12,502407;19,1
München-Flughafen;48,347741;11,813385;13,9
Lahr;48,364742;7,827986;1
Weihenstephan-Dürnast;48,402404;11,694552;12,8
Augsburg;48,425292;10,941681;6,3
Ulm-Mähringen;48,441768;9,921613;2,5
Freudenstadt;48,453828;8,408952;0,9
Fürstenzell;48,545114;13,353159;12,8
Gottfrieding;48,659461;12,538816;8,6
Stötten;48,665587;9,864791;1,9
Stuttgart-Echterdingen;48,688265;9,223548;0
Harburg;48,791834;10,706234;0,7
Straubing;48,827504;12,559695;7
Stuttgart (Schnarrenberg);48,828085;9,200028;0
Kaisersbach-Cronhütte;48,917038;9,687101;0,1
Gelbelsee;48,948116;11,428929;0,2
Mühlacker;48,972073;8,873462;0,4
Rheinstetten;48,972627;8,330081;4,6
Weißenburg-Emetzheim;49,01153;10,930837;0
Zwiesel;49,028013;13,238509;1,9
Regensburg;49,042482;12,101943;1
Großer Arber;49,112887;13,133791;2
Feuchtwangen-Heilbronn;49,162297;10,366126;0
Öhringen;49,207016;9,517582;0
Saarbrücken-Ensheim;49,212782;7,107653;0
Roth;49,216232;11,103514;0
Berus;49,264058;6,686776;0,2
Waibstadt;49,294262;8,905286;0,6
Weinbiet;49,375801;8,121233;0,1
Waldmünchen;49,390952;12,683802;0,5
Tholey;49,473721;7,038522;0,2
Nürnberg;49,503031;11,054923;0
Mannheim;49,506251;8,558439;5,1
Weiden;49,666221;12,184448;0
Michelstadt-Vielbrunn;49,717686;9,099716;0,4
Trier-Petrisberg;49,747891;6,658305;0
Deuselbach;49,761881;7,054245;1,4
Würzburg;49,770378;9,957627;0
Bamberg;49,874252;10,920558;0
Hahn;49,946281;7,264495;2,3
Geisenheim;49,985894;7,95482;0,4
Neuhütten/Spessart;50,008293;9,423765;1,1
Frankfurt/Main;50,025911;8,521294;0,1
Wunsiedel-Schönbrunn;50,031507;11,974501;0
Offenbach-Wetterpark;50,08995;8,786165;0
Kleiner Feldberg/Taunus;50,221797;8,446883;0,4
Kissingen, Bad;50,223991;10,079245;0,1
Lautertal-Oberlauter;50,306639;10,967938;0
Hof;50,312257;11,876039;0
Nürburg-Barweiler;50,360174;6,869659;0,1
Andernach;50,423665;7,420171;0
Fichtelberg;50,428295;12,953583;0
Carlsfeld;50,431251;12,611421;0
Plauen;50,481832;12,130043;0
Wasserkuppe;50,497265;9,942732;0,1
Neuhaus am Rennweg;50,500253;11,13446;0,2
Hoherodskopf/Vogelsberg;50,508396;9,224634;1,8
Meiningen;50,561131;10,377137;0
Schleiz;50,567906;11,804085;0
Gießen/Wettenberg;50,601715;8,643898;0,1
Marienberg;50,651055;13,146876;0
Schmücke;50,654518;10,769601;1,7
Marienberg, Bad;50,662061;7,960264;0,6
Königswinter-Heiderhof;50,729285;7,204024;2,1
Zinnwald-Georgenfeld;50,731347;13,751612;0
Neu-Ulrichstein;50,751337;9,022428;2,5
Chemnitz;50,791286;12,871977;0
Aachen-Orsbach;50,798281;6,02439;0,6
Hersfeld, Bad;50,851957;9,737694;0,1
Köln/Bonn;50,864547;7,157524;0,4
Gera-Leumnitz;50,881208;12,128885;0
Lichtenhain-Mittelndorf;50,938325;14,20938;0
Erfurt-Weimar;50,982887;10,960753;0
Eisenach;51,000736;10,36211;0,8
Osterfeld;51,08716;11,929265;0
Dresden-Klotzsche;51,127797;13,754251;0
Görlitz;51,162129;14,950606;0
Kahler Asten;51,180254;8,489068;0,2
Lüdenscheid;51,245158;7,642497;1,3
Schauenburg-Elgershausen;51,283452;9,358959;0,7
Düsseldorf;51,295968;6,768626;0
Oschatz;51,29598;13,09283;0
Leipzig-Holzhausen;51,31509;12,446226;0
Artern;51,374418;11,291962;0
Leinefelde;51,393197;10,312349;0,1
Essen-Bredeney;51,404085;6,967741;0,3
Leipzig/Halle;51,434711;12,239585;0
Hoyerswerda;51,449238;14,25327;0
Göttingen;51,500248;9,950659;0,1
Warburg;51,50392;9,111774;3,5
Werl;51,576347;7,887922;0,9
Doberlug-Kirchhain;51,645071;13,574714;0
Harzgerode;51,651967;11,136645;1,5
Braunlage;51,723383;10,602109;1
Cottbus;51,775938;14,316799;0
Lippspringe, Bad;51,785416;8,838795;2,2
Brocken;51,798615;10,61828;1
Wernigerode;51,84544;10,768627;2,9
Lügde-Paenbruch;51,866393;9,271007;2,9
Wittenberg;51,889124;12,644598;0,2
Alfeld;51,964331;9,80717;3,4
Baruth;52,061303;13,499731;0
Ahaus;52,0813;6,940893;0
Magdeburg;52,102896;11,582674;1,9
Salzuflen, Bad;52,104207;8,752053;2,9
Wiesenburg;52,120644;12,458559;0
Münster/Osnabrück;52,134375;7,696859;0
Ummendorf;52,160112;11,175857;1
Lindenberg;52,208489;14,118032;0
Braunschweig;52,291469;10,446448;1,1
Belm;52,317043;8,16943;0,3
Berlin Brandenburg;52,380702;13,530576;0
Potsdam;52,381247;13,06223;0,4
Genthin;52,387511;12,160174;0
Hannover;52,464428;9,677906;5,8
Berlin-Tempelhof;52,467551;13,401981;0
Lingen-Baccum;52,512631;7,413109;0,5
Gardelegen;52,512889;11,394174;1,1
Manschnow;52,546778;14,54525;0
Diepholz;52,588112;8,342405;0,7
Seehausen;52,891088;11,729659;0,1
Kyritz;52,936248;12,409335;0,1
Neuruppin-Alt Ruppin;52,943711;12,851826;2,7
Soltau;52,960408;9,793049;1,4
Lüchow;52,972379;11,137371;0,5
Angermünde;53,031558;13,99082;0
Bremen;53,04507;8,798084;1,6
Friesoythe-Altenoythe;53,064301;7,901969;0,1
Grünow;53,315357;13,933856;0
Feldberg/Mecklenburg;53,317622;13,417485;0
Marnitz;53,32222;11,932143;1
Emden;53,388122;7,228716;0,4
Boizenburg;53,391093;10,68781;3,5
Bremervörde;53,445118;9,13903;0,3
Waren (Müritz);53,519622;12,665404;0,5
Bremerhaven;53,53321;8,576089;1,3
Trollenhagen;53,599793;13,303907;0,3
Goldberg;53,605834;12,103404;0,7
Hamburg-Fuhlsbüttel;53,633172;9,988102;2,3
Schwerin;53,642425;11,387095;1,2
Norderney;53,712304;7,151923;1,8
Quickborn;53,733089;9,87757;1,7
Ueckermünde;53,744455;14,069809;0,3
Lübeck-Blankensee;53,802512;10,698941;1,6
Cuxhaven;53,871341;8,706028;1
Itzehoe;53,989731;9,569692;1,6
Boltenhagen;54,002724;11,19082;0,6
Elpersbüttel;54,069146;9,010547;1,5
Pelzerhaken;54,08933;10,877341;0,8
Greifswald;54,096704;13,405565;0
Dörnick;54,165444;10,351887;1,4
Helgoland;54,174971;7,891995;1,2
Rostock-Warnemünde;54,180279;12,080806;0
Greifswalder Oie;54,24373;13,910203;0
Sankt Peter-Ording;54,327907;8,603056;1,4
Barth;54,340527;12,710848;0
Putbus;54,364277;13,477079;0
Kiel-Holtenau;54,377582;10,142375;0,1
Schleswig;54,527539;9,548666;1
Fehmarn;54,528292;11,060556;0
Schönhagen (Ostseebad);54,640986;10,02377;0,1
Arkona;54,679109;13,434416;0
Leck;54,790294;8,951446;0
List auf Sylt;55,010989;8,412531;0
