name;lat;lon;value
Oberstdorf;47,398429;10,275881;0
Zugspitze;47,421037;10,984761;2,9
Balderschwang;47,465031;10,104292;0
Garmisch-Partenkirchen;47,482989;11,062126;0
Oberreute;47,553798;9,940647;0
Rheinfelden;47,558973;7,772149;3
Sigmarszell-Zeisertsweiler;47,577598;9,740446;0
Oberammergau;47,602966;11,060714;0,1
Immenstadt-Reute;47,607783;10,202039;0,1
Kreuth-Glashütte;47,610509;11,646185;0,1
Kiefersfelden-Gach;47,618701;12,166532;0
Ramsau-Schwarzeck/Schmuck;47,627899;12,901492;0
Jachenau-Tannern;47,627941;11,516628;0
Oy-Mittelberg-Petersthal;47,636179;10,38923;0
Berchtesgaden;47,639214;13,006754;0
Kohlgrub, Bad (Rosshof);47,665187;11,080459;0,1
Obere Firstalm/Schlierseer Berge;47,67046;11,85393;0
Reit im Winkl;47,675415;12,469775;0
Wutöschingen-Ofteringen;47,678267;8,380132;4,8
Friedrichshafen-Unterraderach;47,684486;9,440903;1
Konstanz;47,695219;9,130698;2,9
Dachsberg-Wolpadingen;47,700359;8,105736;10,8
Marktschellenberg;47,704589;13,037189;0
Wangen/Allgäu-Schwaderberg;47,70958;9,865965;0,3
Steingaden-Lauterbach;47,71121;10,875798;0
Kempten;47,723263;10,334786;0
Brannenburg-Degerndorf;47,724089;12,109214;0
Aschau-Stein;47,727538;12,298183;0
Todtmoos;47,727934;7,998838;14,3
Gottmadingen;47,734403;8,793208;2,5
Ühlingen-Birkendorf;47,745237;8,31112;6,6
Waakirchen-Demmelberg;47,756447;11,692754;0,1
Malsburg-Marzell;47,766726;7,720509;5,1
Kraftisried;47,767357;10,460351;0
Piding;47,77239;12,907282;0
Singen;47,773799;8,821934;2,9
Leutkirch-Herlazhofen;47,795529;10,032457;0,9
Deggenhausertal-Azenweiler;47,800675;9,41082;2,7
Hohenpeißenberg;47,800869;11,010819;0
Weingarten, Kr. Ravensburg;47,806248;9,620579;2,4
Müllheim;47,806371;7,638692;3,6
Irschenberg-Kasthub;47,817673;11,868114;0
Blumberg-Randen;47,818957;8,577367;1,1
Siegsdorf-Höll;47,835009;12,654781;0
Teisendorf;47,852623;12,828194;0
Stockach;47,859059;9,015181;2,9
